Transfermarkt ID,Player Name,Nationality,DOB,Position,Senior Clubs Played For
,Diego Maradona,Argentina,"Oct 30, 1960",FWD,"Argentinos Juniors, Boca Juniors, Barcelona, Napoli, Sevilla, Newell's Old Boys"
,Pelé,Brazil,"Oct 23, 1940",FWD,"Santos, New York Cosmos"
,Johan Cruyff,Netherlands,"Apr 25, 1947",FWD,"Ajax, Barcelona, Los Angeles Aztecs, Washington Diplomats, Levante, Feyenoord"
,Zinedine Zidane,France,"Jun 23, 1972",MID,"Cannes, Bordeaux, Juventus, Real Madrid"
,Ronaldo Nazário,Brazil,"Sep 18, 1976",FWD,"Cruzeiro, PSV Eindhoven, Barcelona, Inter Milan, Real Madrid, AC Milan, Corinthians"
,Ronaldinho,Brazil,"Mar 21, 1980",FWD,"Grêmio, Paris Saint-Germain, Barcelona, AC Milan, Flamengo, Atlético Mineiro, Querétaro, Fluminense"
,Thierry Henry,France,"Aug 17, 1977",FWD,"Monaco, Juventus, Arsenal, Barcelona, New York Red Bulls"
,Luís Figo,Portugal,"Nov 4, 1972",MID,"Sporting CP, Barcelona, Real Madrid, Inter Milan"
,Michel Platini,France,"Jun 21, 1955",MID,"Nancy, Saint-Étienne, Juventus"
,Marco van Basten,Netherlands,"Oct 31, 1964",FWD,"Ajax, AC Milan"
,Ruud Gullit,Netherlands,"Sep 1, 1962",MID,"HFC Haarlem, Feyenoord, PSV Eindhoven, AC Milan, Sampdoria, Chelsea"
,Frank Rijkaard,Netherlands,"Sep 30, 1962",MID,"Ajax, Sporting CP, Real Zaragoza, AC Milan"
,Lothar Matthäus,Germany,"Mar 21, 1961",MID,"Borussia Mönchengladbach, Bayern Munich, Inter Milan, MetroStars"
,Paolo Maldini,Italy,"Jun 26, 1968",DEF,AC Milan
,Franco Baresi,Italy,"May 8, 1960",DEF,AC Milan
,Alessandro Costacurta,Italy,"Apr 24, 1966",DEF,"AC Milan, Monza"
,Mauro Tassotti,Italy,"Jan 19, 1960",DEF,"Lazio, AC Milan"
,Roberto Baggio,Italy,"Feb 18, 1967",FWD,"Vicenza, Fiorentina, Juventus, AC Milan, Bologna, Inter Milan, Brescia"
,Romário,Brazil,"Jan 29, 1966",FWD,"Vasco da Gama, PSV Eindhoven, Barcelona, Flamengo, Valencia, Fluminense, Al-Sadd, Miami FC, Adelaide United, América-RJ"
,Rivaldo,Brazil,"Apr 19, 1972",FWD,"Mogi Mirim, Corinthians, Palmeiras, Deportivo La Coruña, Barcelona, AC Milan, Cruzeiro, Olympiacos, AEK Athens, Bunyodkor, São Paulo, Kabuscorp, São Caetano"
,Cafu,Brazil,"Jun 7, 1970",DEF,"São Paulo, Real Zaragoza, Juventude, Palmeiras, Roma, AC Milan"
,Roberto Carlos,Brazil,"Apr 10, 1973",DEF,"União São João, Palmeiras, Inter Milan, Real Madrid, Fenerbahçe, Corinthians, Anzhi Makhachkala, Delhi Dynamos"
,Gabriel Batistuta,Argentina,"Feb 1, 1969",FWD,"Newell's Old Boys, River Plate, Boca Juniors, Fiorentina, Roma, Inter Milan, Al-Arabi"
,Javier Zanetti,Argentina,"Aug 10, 1973",DEF,"Talleres RE, Banfield, Inter Milan"
,Alessandro Del Piero,Italy,"Nov 9, 1974",FWD,"Padova, Juventus, Sydney FC, Delhi Dynamos"
,Francesco Totti,Italy,"Sep 27, 1976",FWD,Roma
,Filippo Inzaghi,Italy,"Aug 9, 1973",FWD,"Piacenza, Albinoleffe, Verona, Parma, Atalanta, Juventus, AC Milan"
,Christian Vieri,Italy,"Jul 12, 1973",FWD,"Torino, Pisa, Ravenna, Venezia, Atalanta, Juventus, Atlético Madrid, Lazio, Inter Milan, AC Milan, Monaco, Fiorentina"
,Hernán Crespo,Argentina,"Jul 5, 1975",FWD,"River Plate, Parma, Lazio, Inter Milan, Chelsea, AC Milan, Genoa"
,Juan Román Riquelme,Argentina,"Jun 24, 1978",MID,"Boca Juniors, Barcelona, Villarreal, Argentinos Juniors"
,Clarence Seedorf,Netherlands,"Apr 1, 1976",MID,"Ajax, Sampdoria, Real Madrid, Inter Milan, AC Milan, Botafogo"
,Edgar Davids,Netherlands,"Mar 13, 1973",MID,"Ajax, AC Milan, Juventus, Barcelona, Inter Milan, Tottenham Hotspur, Crystal Palace, Barnet"
,Patrick Kluivert,Netherlands,"Jul 1, 1976",FWD,"Ajax, AC Milan, Barcelona, Newcastle United, Valencia, PSV Eindhoven, Lille"
,Edwin van der Sar,Netherlands,"Oct 29, 1970",GK,"Ajax, Juventus, Fulham, Manchester United, Noordwijk"
,Ruud van Nistelrooy,Netherlands,"Jul 1, 1976",FWD,"Den Bosch, Heerenveen, PSV Eindhoven, Manchester United, Real Madrid, Hamburger SV, Málaga"
,Dennis Bergkamp,Netherlands,"May 10, 1969",FWD,"Ajax, Inter Milan, Arsenal"
,Marc Overmars,Netherlands,"Mar 29, 1973",FWD,"Go Ahead Eagles, Willem II, Ajax, Arsenal, Barcelona"
,Oliver Kahn,Germany,"Jun 15, 1969",GK,"Karlsruher SC, Bayern Munich"
,Michael Ballack,Germany,"Sep 26, 1976",MID,"Chemnitzer FC, Kaiserslautern, Bayer Leverkusen, Bayern Munich, Chelsea"
,Miroslav Klose,Germany,"Jun 9, 1978",FWD,"FC Homburg, Kaiserslautern, Werder Bremen, Bayern Munich, Lazio"
,Oliver Bierhoff,Germany,"May 1, 1968",FWD,"KFC Uerdingen, Hamburger SV, Borussia Mönchengladbach, Austria Salzburg, Ascoli, Udinese, AC Milan, Monaco, Chievo"
,Jürgen Klinsmann,Germany,"Jul 30, 1964",FWD,"Stuttgarter Kickers, VfB Stuttgart, Inter Milan, Monaco, Tottenham Hotspur, Bayern Munich, Sampdoria, Orange County Blue Star"
,Rudi Völler,Germany,"Apr 13, 1960",FWD,"Kickers Offenbach, TSV 1860 Munich, Werder Bremen, Roma, Marseille, Bayer Leverkusen"
,Matthias Sammer,Germany,"Sep 5, 1967",DEF,"Dynamo Dresden, VfB Stuttgart, Inter Milan, Borussia Dortmund"
,Karl-Heinz Rummenigge,Germany,"Sep 25, 1955",FWD,"Bayern Munich, Inter Milan, Servette"
