Player Name,Nationality,DOB,Position,Senior Clubs Played For,candidate_transfermarkt_id,candidate_wikidata_qid,candidate_name,candidate_dob,candidate_nationality,match_confidence,review_reason
Diego Maradona,Argentina,"Oct 30, 1960",FWD,"Argentinos Juniors, Boca Juniors, Barcelona, Napoli, Sevilla, Newell's Old Boys",,,,,,0,low_confidence
Pelé,Brazil,"Oct 23, 1940",FWD,"Santos, New York Cosmos",,,,,,0,low_confidence
Johan Cruyff,Netherlands,"Apr 25, 1947",FWD,"Ajax, Barcelona, Los Angeles Aztecs, Washington Diplomats, Levante, Feyenoord",,,,,,0,low_confidence
Zinedine Zidane,France,"Jun 23, 1972",MID,"Cannes, Bordeaux, Juventus, Real Madrid",,,,,,0,low_confidence
Ronaldo Nazário,Brazil,"Sep 18, 1976",FWD,"Cruzeiro, PSV Eindhoven, Barcelona, Inter Milan, Real Madrid, AC Milan, Corinthians",,,,,,0,low_confidence
Ronaldinho,Brazil,"Mar 21, 1980",FWD,"Grêmio, Paris Saint-Germain, Barcelona, AC Milan, Flamengo, Atlético Mineiro, Querétaro, Fluminense",,,,,,0,low_confidence
Thierry Henry,France,"Aug 17, 1977",FWD,"Monaco, Juventus, Arsenal, Barcelona, New York Red Bulls",,,,,,0,low_confidence
Luís Figo,Portugal,"Nov 4, 1972",MID,"Sporting CP, Barcelona, Real Madrid, Inter Milan",,,,,,0,low_confidence
Michel Platini,France,"Jun 21, 1955",MID,"Nancy, Saint-Étienne, Juventus",,,,,,0,low_confidence
Marco van Basten,Netherlands,"Oct 31, 1964",FWD,"Ajax, AC Milan",,,,,,0,low_confidence
Ruud Gullit,Netherlands,"Sep 1, 1962",MID,"HFC Haarlem, Feyenoord, PSV Eindhoven, AC Milan, Sampdoria, Chelsea",,,,,,0,low_confidence
Frank Rijkaard,Netherlands,"Sep 30, 1962",MID,"Ajax, Sporting CP, Real Zaragoza, AC Milan",,,,,,0,low_confidence
Lothar Matthäus,Germany,"Mar 21, 1961",MID,"Borussia Mönchengladbach, Bayern Munich, Inter Milan, MetroStars",,,,,,0,low_confidence
Paolo Maldini,Italy,"Jun 26, 1968",DEF,AC Milan,,,,,,0,low_confidence
Franco Baresi,Italy,"May 8, 1960",DEF,AC Milan,,,,,,0,low_confidence
Alessandro Costacurta,Italy,"Apr 24, 1966",DEF,"AC Milan, Monza",,,,,,0,low_confidence
Mauro Tassotti,Italy,"Jan 19, 1960",DEF,"Lazio, AC Milan",,,,,,0,low_confidence
Roberto Baggio,Italy,"Feb 18, 1967",FWD,"Vicenza, Fiorentina, Juventus, AC Milan, Bologna, Inter Milan, Brescia",,,,,,0,low_confidence
Romário,Brazil,"Jan 29, 1966",FWD,"Vasco da Gama, PSV Eindhoven, Barcelona, Flamengo, Valencia, Fluminense, Al-Sadd, Miami FC, Adelaide United, América-RJ",,,,,,0,low_confidence
Rivaldo,Brazil,"Apr 19, 1972",FWD,"Mogi Mirim, Corinthians, Palmeiras, Deportivo La Coruña, Barcelona, AC Milan, Cruzeiro, Olympiacos, AEK Athens, Bunyodkor, São Paulo, Kabuscorp, São Caetano",,,,,,0,low_confidence
Cafu,Brazil,"Jun 7, 1970",DEF,"São Paulo, Real Zaragoza, Juventude, Palmeiras, Roma, AC Milan",,,,,,0,low_confidence
Roberto Carlos,Brazil,"Apr 10, 1973",DEF,"União São João, Palmeiras, Inter Milan, Real Madrid, Fenerbahçe, Corinthians, Anzhi Makhachkala, Delhi Dynamos",,,,,,0,low_confidence
Gabriel Batistuta,Argentina,"Feb 1, 1969",FWD,"Newell's Old Boys, River Plate, Boca Juniors, Fiorentina, Roma, Inter Milan, Al-Arabi",,,,,,0,low_confidence
Javier Zanetti,Argentina,"Aug 10, 1973",DEF,"Talleres RE, Banfield, Inter Milan",,,,,,0,low_confidence
Alessandro Del Piero,Italy,"Nov 9, 1974",FWD,"Padova, Juventus, Sydney FC, Delhi Dynamos",,,,,,0,low_confidence
Francesco Totti,Italy,"Sep 27, 1976",FWD,Roma,,,,,,0,low_confidence
Filippo Inzaghi,Italy,"Aug 9, 1973",FWD,"Piacenza, Albinoleffe, Verona, Parma, Atalanta, Juventus, AC Milan",,,,,,0,low_confidence
Christian Vieri,Italy,"Jul 12, 1973",FWD,"Torino, Pisa, Ravenna, Venezia, Atalanta, Juventus, Atlético Madrid, Lazio, Inter Milan, AC Milan, Monaco, Fiorentina",,,,,,0,low_confidence
Hernán Crespo,Argentina,"Jul 5, 1975",FWD,"River Plate, Parma, Lazio, Inter Milan, Chelsea, AC Milan, Genoa",,,,,,0,low_confidence
Juan Román Riquelme,Argentina,"Jun 24, 1978",MID,"Boca Juniors, Barcelona, Villarreal, Argentinos Juniors",,,,,,0,low_confidence
Clarence Seedorf,Netherlands,"Apr 1, 1976",MID,"Ajax, Sampdoria, Real Madrid, Inter Milan, AC Milan, Botafogo",,,,,,0,low_confidence
Edgar Davids,Netherlands,"Mar 13, 1973",MID,"Ajax, AC Milan, Juventus, Barcelona, Inter Milan, Tottenham Hotspur, Crystal Palace, Barnet",,,,,,0,low_confidence
Patrick Kluivert,Netherlands,"Jul 1, 1976",FWD,"Ajax, AC Milan, Barcelona, Newcastle United, Valencia, PSV Eindhoven, Lille",,,,,,0,low_confidence
Edwin van der Sar,Netherlands,"Oct 29, 1970",GK,"Ajax, Juventus, Fulham, Manchester United, Noordwijk",,,,,,0,low_confidence
Ruud van Nistelrooy,Netherlands,"Jul 1, 1976",FWD,"Den Bosch, Heerenveen, PSV Eindhoven, Manchester United, Real Madrid, Hamburger SV, Málaga",,,,,,0,low_confidence
Dennis Bergkamp,Netherlands,"May 10, 1969",FWD,"Ajax, Inter Milan, Arsenal",,,,,,0,low_confidence
Marc Overmars,Netherlands,"Mar 29, 1973",FWD,"Go Ahead Eagles, Willem II, Ajax, Arsenal, Barcelona",,,,,,0,low_confidence
Oliver Kahn,Germany,"Jun 15, 1969",GK,"Karlsruher SC, Bayern Munich",,,,,,0,low_confidence
Michael Ballack,Germany,"Sep 26, 1976",MID,"Chemnitzer FC, Kaiserslautern, Bayer Leverkusen, Bayern Munich, Chelsea",,,,,,0,low_confidence
Miroslav Klose,Germany,"Jun 9, 1978",FWD,"FC Homburg, Kaiserslautern, Werder Bremen, Bayern Munich, Lazio",,,,,,0,low_confidence
Oliver Bierhoff,Germany,"May 1, 1968",FWD,"KFC Uerdingen, Hamburger SV, Borussia Mönchengladbach, Austria Salzburg, Ascoli, Udinese, AC Milan, Monaco, Chievo",,,,,,0,low_confidence
