Player Name,Nationality,DOB,Position,Senior Clubs Played For,transfermarkt_id,wikidata_qid
Diego Maradona,Argentina,"Oct 30, 1960",FWD,"Boca Juniors, Barcelona, Napoli, Sevilla",8024,Q17515
Pelé,Brazil,"Oct 23, 1940",FWD,Santos,17121,Q12897
Johan Cruyff,Netherlands,"Apr 25, 1947",FWD,"Ajax, Barcelona, Feyenoord",8021,Q17163
Zinedine Zidane,France,"Jun 23, 1972",MID,"Juventus, Real Madrid",3111,Q1835
Ronaldo Nazário,Brazil,"Sep 18, 1976",FWD,"PSV Eindhoven, Barcelona, Inter Milan, Real Madrid, AC Milan, Corinthians",3140,Q529207
Ronaldinho,Brazil,"Mar 21, 1980",FWD,"Paris Saint-Germain, Barcelona, AC Milan, Flamengo, Fluminense",3373,Q39444
Thierry Henry,France,"Aug 17, 1977",FWD,"Monaco, Juventus, Arsenal, Barcelona",3207,Q45901
Luís Figo,Portugal,"Nov 4, 1972",MID,"Sporting CP, Barcelona, Real Madrid, Inter Milan",3446,Q483145
Michel Platini,France,"Jun 21, 1955",MID,Juventus,88994,Q4261
Marco van Basten,Netherlands,"Oct 31, 1964",FWD,"Ajax, AC Milan",74471,Q483629
Ruud Gullit,Netherlands,"Sep 1, 1962",MID,"Feyenoord, PSV Eindhoven, AC Milan, Chelsea",101045,Q173972
Frank Rijkaard,Netherlands,"Sep 30, 1962",MID,"Ajax, Sporting CP, Real Zaragoza, AC Milan",70667,Q169098
Lothar Matthäus,Germany,"Mar 21, 1961",MID,"Bayern Munich, Inter Milan",1527,Q36386
Paolo Maldini,Italy,"Jun 26, 1968",DEF,AC Milan,5803,Q483027
Franco Baresi,Italy,"May 8, 1960",DEF,AC Milan,42049,Q189984
Alessandro Costacurta,Italy,"Apr 24, 1966",DEF,AC Milan,10055,Q213828
Mauro Tassotti,Italy,"Jan 19, 1960",DEF,"Lazio, AC Milan",102483,Q312999
Roberto Baggio,Italy,"Feb 18, 1967",FWD,"Fiorentina, Juventus, AC Milan, Bologna, Inter Milan",4153,Q67964
Romário,Brazil,"Jan 29, 1966",FWD,"PSV Eindhoven, Barcelona, Flamengo, Valencia, Fluminense",7942,Q178649
Rivaldo,Brazil,"Apr 19, 1972",FWD,"Corinthians, Palmeiras, Deportivo La Coruña, Barcelona, AC Milan, Olympiacos",3372,Q483577
Cafu,Brazil,"Jun 7, 1970",DEF,"Real Zaragoza, Palmeiras, Roma, AC Milan",5937,Q178683
Roberto Carlos,Brazil,"Apr 10, 1973",DEF,"Palmeiras, Inter Milan, Real Madrid, Fenerbahçe, Corinthians",7518,Q429039
Gabriel Batistuta,Argentina,"Feb 1, 1969",FWD,"River Plate, Boca Juniors, Fiorentina, Roma, Inter Milan",5959,Q170376
Javier Zanetti,Argentina,"Aug 10, 1973",DEF,Inter Milan,1161,Q52876
Alessandro Del Piero,Italy,"Nov 9, 1974",FWD,Juventus,4289,Q624
Francesco Totti,Italy,"Sep 27, 1976",FWD,Roma,5958,Q20110
Filippo Inzaghi,Italy,"Aug 9, 1973",FWD,"Parma, Atalanta, Juventus, AC Milan",5821,Q126503
Christian Vieri,Italy,"Jul 12, 1973",FWD,"Torino, Atalanta, Juventus, Atlético Madrid, Lazio, Inter Milan, AC Milan, Monaco, Fiorentina",5797,Q188696
Hernán Crespo,Argentina,"Jul 5, 1975",FWD,"River Plate, Parma, Lazio, Inter Milan, Chelsea, AC Milan, Genoa",3410,Q160206
Juan Román Riquelme,Argentina,"Jun 24, 1978",MID,"Boca Juniors, Barcelona, Villarreal",3854,Q192965
Clarence Seedorf,Netherlands,"Apr 1, 1976",MID,"Ajax, Real Madrid, Inter Milan, AC Milan, Botafogo",4168,Q484909
Edgar Davids,Netherlands,"Mar 13, 1973",MID,"Ajax, AC Milan, Juventus, Barcelona, Inter Milan, Tottenham Hotspur, Crystal Palace",5758,Q185115
Patrick Kluivert,Netherlands,"Jul 1, 1976",FWD,"Ajax, AC Milan, Barcelona, Newcastle United, Valencia, PSV Eindhoven, Lille",4385,Q189686
Edwin van der Sar,Netherlands,"Oct 29, 1970",GK,"Ajax, Juventus, Fulham, Manchester United",3516,Q482955
Ruud van Nistelrooy,Netherlands,"Jul 1, 1976",FWD,"PSV Eindhoven, Manchester United, Real Madrid, Hamburger SV",3407,Q45626
Dennis Bergkamp,Netherlands,"May 10, 1969",FWD,"Ajax, Inter Milan, Arsenal",3187,Q185389
Marc Overmars,Netherlands,"Mar 29, 1973",FWD,"Ajax, Arsenal, Barcelona",3513,Q219248
Oliver Kahn,Germany,"Jun 15, 1969",GK,Bayern Munich,206,Q131261
Michael Ballack,Germany,"Sep 26, 1976",MID,"Bayer Leverkusen, Bayern Munich, Chelsea",63,Q11948
