player_id,nation_slug,attribute_id,source
10,germany,nation:germany,legendary_citizenship
10055,italy,nation:italy,legendary_citizenship
101045,netherlands,nation:netherlands,legendary_citizenship
101382,england,nation:england,legendary_citizenship
101385,england,nation:england,legendary_citizenship
101764,saudi_arabia,nation:saudi_arabia,legendary_citizenship
101776,saudi_arabia,nation:saudi_arabia,legendary_citizenship
102150,colombia,nation:colombia,legendary_citizenship
102163,colombia,nation:colombia,legendary_citizenship
102214,argentina,nation:argentina,legendary_citizenship
102483,italy,nation:italy,legendary_citizenship
102513,mexico,nation:mexico,legendary_citizenship
102612,cameroon,nation:cameroon,legendary_citizenship
103092,hungary,nation:hungary,legendary_citizenship
10367,argentina,nation:argentina,legendary_citizenship
104897,france,nation:france,legendary_citizenship
105334,hungary,nation:hungary,legendary_citizenship
107860,italy,nation:italy,legendary_citizenship
112589,japan,nation:japan,legendary_citizenship
1161,argentina,nation:argentina,legendary_citizenship
116155,scotland,nation:scotland,legendary_citizenship
116689,italy,nation:italy,legendary_citizenship
116697,italy,nation:italy,legendary_citizenship
116698,italy,nation:italy,legendary_citizenship
116735,argentina,nation:argentina,legendary_citizenship
116740,italy,nation:italy,legendary_citizenship
116744,italy,nation:italy,legendary_citizenship
116747,argentina,nation:argentina,legendary_citizenship
116750,italy,nation:italy,legendary_citizenship
116754,italy,nation:italy,legendary_citizenship
117193,england,nation:england,legendary_citizenship
117377,russia,nation:russia,legendary_citizenship
117493,france,nation:france,legendary_citizenship
117501,france,nation:france,legendary_citizenship
117598,spain,nation:spain,legendary_citizenship
117613,spain,nation:spain,legendary_citizenship
117619,brazil,nation:brazil,legendary_citizenship
117621,brazil,nation:brazil,legendary_citizenship
117633,brazil,nation:brazil,legendary_citizenship
117732,algeria,nation:algeria,legendary_citizenship
117747,algeria,nation:algeria,legendary_citizenship
119,germany,nation:germany,legendary_citizenship
12000,france,nation:france,legendary_citizenship
122153,france,nation:france,legendary_citizenship
128223,spain,nation:spain,legendary_citizenship
128893,italy,nation:italy,legendary_citizenship
129083,chile,nation:chile,legendary_citizenship
132,czech_republic,nation:czech_republic,legendary_citizenship
133753,peru,nation:peru,legendary_citizenship
134425,england,nation:england,legendary_citizenship
135269,scotland,nation:scotland,legendary_citizenship
13556,australia,nation:australia,legendary_citizenship
135621,netherlands,nation:netherlands,legendary_citizenship
135643,netherlands,nation:netherlands,legendary_citizenship
135645,netherlands,nation:netherlands,legendary_citizenship
135744,spain,nation:spain,legendary_citizenship
135777,spain,nation:spain,legendary_citizenship
135778,argentina,nation:argentina,legendary_citizenship
135778,spain,nation:spain,legendary_citizenship
135806,argentina,nation:argentina,legendary_citizenship
136476,hungary,nation:hungary,legendary_citizenship
136482,hungary,nation:hungary,legendary_citizenship
13761,germany,nation:germany,legendary_citizenship
13766,germany,nation:germany,legendary_citizenship
13775,germany,nation:germany,legendary_citizenship
1397,england,nation:england,legendary_citizenship
140644,sweden,nation:sweden,legendary_citizenship
1407,croatia,nation:croatia,legendary_citizenship
1419,cameroon,nation:cameroon,legendary_citizenship
145124,serbia,nation:serbia,legendary_citizenship
145193,italy,nation:italy,legendary_citizenship
145342,italy,nation:italy,legendary_citizenship
145344,italy,nation:italy,legendary_citizenship
145347,italy,nation:italy,legendary_citizenship
145348,italy,nation:italy,legendary_citizenship
145743,wales,nation:wales,legendary_citizenship
148455,egypt,nation:egypt,legendary_citizenship
151245,france,nation:france,legendary_citizenship
151247,russia,nation:russia,legendary_citizenship
151263,brazil,nation:brazil,legendary_citizenship
1527,germany,nation:germany,legendary_citizenship
15769,italy,nation:italy,legendary_citizenship
15951,brazil,nation:brazil,legendary_citizenship
16036,italy,nation:italy,legendary_citizenship
16980,germany,nation:germany,legendary_citizenship
170730,france,nation:france,legendary_citizenship
17121,brazil,nation:brazil,legendary_citizenship
17168,france,nation:france,legendary_citizenship
17259,germany,nation:germany,legendary_citizenship
174159,italy,nation:italy,legendary_citizenship
174874,england,nation:england,legendary_citizenship
174986,northern_ireland,nation:northern_ireland,legendary_citizenship
174987,russia,nation:russia,legendary_citizenship
177829,italy,nation:italy,legendary_citizenship
18301,brazil,nation:brazil,legendary_citizenship
18301,brazil,nation:brazil,legendary_citizenship
183779,italy,nation:italy,legendary_citizenship
18922,france,nation:france,legendary_citizenship
18944,spain,nation:spain,legendary_citizenship
196086,england,nation:england,legendary_citizenship
19726,serbia,nation:serbia,legendary_citizenship
19981,argentina,nation:argentina,legendary_citizenship
200375,germany,nation:germany,legendary_citizenship
200627,england,nation:england,legendary_citizenship
20584,united_states,nation:united_states,legendary_citizenship
206,germany,nation:germany,legendary_citizenship
210,france,nation:france,legendary_citizenship
216031,italy,nation:italy,legendary_citizenship
216034,italy,nation:italy,legendary_citizenship
216035,italy,nation:italy,legendary_citizenship
2219,germany,nation:germany,legendary_citizenship
22202,argentina,nation:argentina,legendary_citizenship
22256,england,nation:england,legendary_citizenship
229662,brazil,nation:brazil,legendary_citizenship
2514,germany,nation:germany,legendary_citizenship
25557,spain,nation:spain,legendary_citizenship
25688,saudi_arabia,nation:saudi_arabia,legendary_citizenship
26399,argentina,nation:argentina,legendary_citizenship
26541,brazil,nation:brazil,legendary_citizenship
27577,united_states,nation:united_states,legendary_citizenship
27705,portugal,nation:portugal,legendary_citizenship
27992,croatia,nation:croatia,legendary_citizenship
2865,switzerland,nation:switzerland,legendary_citizenship
2904,mexico,nation:mexico,legendary_citizenship
29241,brazil,nation:brazil,legendary_citizenship
29260,italy,nation:italy,legendary_citizenship
3109,england,nation:england,legendary_citizenship
3110,england,nation:england,legendary_citizenship
3111,france,nation:france,legendary_citizenship
3113,france,nation:france,legendary_citizenship
3133,nigeria,nation:nigeria,legendary_citizenship
3134,sweden,nation:sweden,legendary_citizenship
31384,saudi_arabia,nation:saudi_arabia,legendary_citizenship
3139,england,nation:england,legendary_citizenship
3140,brazil,nation:brazil,legendary_citizenship
3143,argentina,nation:argentina,legendary_citizenship
3154,france,nation:france,legendary_citizenship
3160,england,nation:england,legendary_citizenship
3163,england,nation:england,legendary_citizenship
3166,france,nation:france,legendary_citizenship
3177,italy,nation:italy,legendary_citizenship
3182,england,nation:england,legendary_citizenship
3183,france,nation:france,legendary_citizenship
3185,france,nation:france,legendary_citizenship
3187,netherlands,nation:netherlands,legendary_citizenship
31909,germany,nation:germany,legendary_citizenship
3194,brazil,nation:brazil,legendary_citizenship
3198,england,nation:england,legendary_citizenship
3207,france,nation:france,legendary_citizenship
3220,norway,nation:norway,legendary_citizenship
3225,england,nation:england,legendary_citizenship
3226,france,nation:france,legendary_citizenship
3235,england,nation:england,legendary_citizenship
3241,australia,nation:australia,legendary_citizenship
32617,england,nation:england,legendary_citizenship
3332,england,nation:england,legendary_citizenship
33481,ivory_coast,nation:ivory_coast,legendary_citizenship
3360,england,nation:england,legendary_citizenship
3366,brazil,nation:brazil,legendary_citizenship
3372,brazil,nation:brazil,legendary_citizenship
3373,brazil,nation:brazil,legendary_citizenship
33923,france,nation:france,legendary_citizenship
3394,norway,nation:norway,legendary_citizenship
3396,ireland,nation:ireland,legendary_citizenship
3397,england,nation:england,legendary_citizenship
3403,england,nation:england,legendary_citizenship
3406,wales,nation:wales,legendary_citizenship
3407,netherlands,nation:netherlands,legendary_citizenship
3408,uruguay,nation:uruguay,legendary_citizenship
3410,argentina,nation:argentina,legendary_citizenship
3411,argentina,nation:argentina,legendary_citizenship
3415,chile,nation:chile,legendary_citizenship
3446,portugal,nation:portugal,legendary_citizenship
3455,sweden,nation:sweden,legendary_citizenship
34572,croatia,nation:croatia,legendary_citizenship
3465,denmark,nation:denmark,legendary_citizenship
3513,netherlands,nation:netherlands,legendary_citizenship
3514,sweden,nation:sweden,legendary_citizenship
3516,netherlands,nation:netherlands,legendary_citizenship
3518,netherlands,nation:netherlands,legendary_citizenship
3519,netherlands,nation:netherlands,legendary_citizenship
3521,france,nation:france,legendary_citizenship
3522,ukraine,nation:ukraine,legendary_citizenship
35518,spain,nation:spain,legendary_citizenship
35604,germany,nation:germany,legendary_citizenship
3597,england,nation:england,legendary_citizenship
3603,czech_republic,nation:czech_republic,legendary_citizenship
3624,portugal,nation:portugal,legendary_citizenship
3708,nigeria,nation:nigeria,legendary_citizenship
37264,argentina,nation:argentina,legendary_citizenship
38253,poland,nation:poland,legendary_citizenship
3830,england,nation:england,legendary_citizenship
3854,argentina,nation:argentina,legendary_citizenship
38593,slovakia,nation:slovakia,legendary_citizenship
3876,england,nation:england,legendary_citizenship
39152,colombia,nation:colombia,legendary_citizenship
3924,ivory_coast,nation:ivory_coast,legendary_citizenship
39381,wales,nation:wales,legendary_citizenship
39667,denmark,nation:denmark,legendary_citizenship
3979,spain,nation:spain,legendary_citizenship
3980,england,nation:england,legendary_citizenship
3994,netherlands,nation:netherlands,legendary_citizenship
39983,italy,nation:italy,legendary_citizenship
4,france,nation:france,legendary_citizenship
4010,netherlands,nation:netherlands,legendary_citizenship
40433,chile,nation:chile,legendary_citizenship
4072,england,nation:england,legendary_citizenship
4146,france,nation:france,legendary_citizenship
4151,brazil,nation:brazil,legendary_citizenship
4153,italy,nation:italy,legendary_citizenship
4168,netherlands,nation:netherlands,legendary_citizenship
4171,italy,nation:italy,legendary_citizenship
4182,france,nation:france,legendary_citizenship
4188,portugal,nation:portugal,legendary_citizenship
42049,italy,nation:italy,legendary_citizenship
4257,cameroon,nation:cameroon,legendary_citizenship
4267,united_states,nation:united_states,legendary_citizenship
4276,argentina,nation:argentina,legendary_citizenship
4289,italy,nation:italy,legendary_citizenship
4360,netherlands,nation:netherlands,legendary_citizenship
4380,netherlands,nation:netherlands,legendary_citizenship
4385,netherlands,nation:netherlands,legendary_citizenship
4388,poland,nation:poland,legendary_citizenship
44352,uruguay,nation:uruguay,legendary_citizenship
44501,brazil,nation:brazil,legendary_citizenship
44716,italy,nation:italy,legendary_citizenship
44779,spain,nation:spain,legendary_citizenship
4592,south_korea,nation:south_korea,legendary_citizenship
4673,netherlands,nation:netherlands,legendary_citizenship
4675,finland,nation:finland,legendary_citizenship
50202,belgium,nation:belgium,legendary_citizenship
5023,italy,nation:italy,legendary_citizenship
52947,brazil,nation:brazil,legendary_citizenship
5299,france,nation:france,legendary_citizenship
532,peru,nation:peru,legendary_citizenship
5357,france,nation:france,legendary_citizenship
55838,colombia,nation:colombia,legendary_citizenship
5588,ghana,nation:ghana,legendary_citizenship
