player_id,display_name,search_text,nation_slug,wikidata_qid
10,Miroslav Klose,miroslav klose,germany,Q80471
100098,Darko Pančev,darko pancev,,Q311362
10055,Alessandro Costacurta,alessandro costacurta,italy,Q213828
101045,Ruud Gullit,ruud gullit,netherlands,Q173972
101382,Bryan Robson,bryan robson,england,Q296583
101385,Chris Waddle,chris waddle,england,Q352878
101764,Majed Abdullah,majed abdullah,saudi_arabia,Q446181
101776,Saeed Al-Owairan,saeed al-owairan,saudi_arabia,Q381686
102150,Faustino Asprilla,faustino asprilla,colombia,Q361409
102163,Freddy Rincón,freddy rincon,colombia,Q225837
102214,Oscar Ruggeri,oscar ruggeri,argentina,Q346942
102483,Mauro Tassotti,mauro tassotti,italy,Q312999
102513,Jorge Campos,jorge campos,mexico,Q313761
102612,Thomas N'Kono,thomas n'kono,cameroon,Q166844
103092,Ferenc Puskás,ferenc puskas,hungary,Q482931
10367,Claudio Caniggia,claudio caniggia,argentina,Q270890
104897,David Ginola,david ginola,france,Q42601
105334,Nándor Hidegkuti,nandor hidegkuti,hungary,Q166035
107860,Giuseppe Bergomi,giuseppe bergomi,italy,Q235159
112589,Kazuyoshi Miura,kazuyoshi miura,japan,Q331953
1161,Javier Zanetti,javier zanetti,argentina,Q52876
116155,Graeme Souness,graeme souness,scotland,Q310352
116689,Antonio Cabrini,antonio cabrini,italy,Q68064
116697,Fulvio Collovati,fulvio collovati,italy,Q366073
116698,Bruno Conti,bruno conti,italy,Q355923
116735,Daniel Passarella,daniel passarella,argentina,Q15802
116740,Gaetano Scirea,gaetano scirea,italy,Q299608
116744,Marco Tardelli,marco tardelli,italy,Q312626
116747,Jorge Valdano,jorge valdano,argentina,Q298305
116750,Walter Vierchowod,walter vierchowod,italy,Q351990
116754,Walter Zenga,walter zenga,italy,Q294302
117193,Glenn Hoddle,glenn hoddle,england,Q296666
117377,Rinat Dasayev,rinat dasayev,russia,Q294444
117493,Alain Giresse,alain giresse,france,Q312170
117501,Jean Tigana,jean tigana,france,Q295559
117598,Emilio Butragueño,emilio butragueno,spain,Q41235
117613,Míchel,michel,spain,Q558689
117619,Zico,zico,brazil,Q47526
117621,Falcão,falcao,brazil,Q312454
117633,Sócrates,socrates,brazil,Q102331
117732,Lakhdar Belloumi,lakhdar belloumi,algeria,Q176426
117747,Rabah Madjer,rabah madjer,algeria,Q431343
119,Jürgen Kohler,jurgen kohler,germany,Q308925
12000,Eric Cantona,eric cantona,france,Q170328
122153,Paul Pogba,paul pogba,france,Q129027
128223,Álvaro Morata,alvaro morata,spain,Q48770
128893,Claudio Gentile,claudio gentile,italy,Q315839
129083,Iván Zamorano,ivan zamorano,chile,Q192035
132,Tomáš Rosický,tomas rosicky,czech_republic,Q29162
133753,Teófilo Cubillas,teofilo cubillas,peru,Q311403
134425,Raheem Sterling,raheem sterling,england,Q312157
135269,Kenny Dalglish,kenny dalglish,scotland,Q187198
13556,Tim Cahill,tim cahill,australia,Q187238
135621,Ruud Krol,ruud krol,netherlands,Q313180
135643,Johan Neeskens,johan neeskens,netherlands,Q233819
135645,Johnny Rep,johnny rep,netherlands,Q313382
135744,Luis Aragonés,luis aragones,spain,Q576614
135777,Telmo Zarra,telmo zarra,spain,Q312408
135778,Alfredo Di Stéfano,alfredo di stefano,argentina,Q164546
135806,Ubaldo Fillol,ubaldo fillol,argentina,Q140319
136476,József Bozsik,jozsef bozsik,hungary,Q318752
136482,Sándor Kocsis,sandor kocsis,hungary,Q295265
13761,Klaus Allofs,klaus allofs,germany,Q166336
13766,Paul Breitner,paul breitner,germany,Q44458
13775,Rudi Völler,rudi voller,germany,Q44464
1397,Michael Owen,michael owen,england,Q128829
140644,Gunnar Nordahl,gunnar nordahl,sweden,Q110111
1407,Davor Šuker,davor suker,croatia,Q189217
1419,Rigobert Song,rigobert song,cameroon,Q215533
145124,Dragan Džajić,dragan dzajic,serbia,Q297357
145193,Giacinto Facchetti,giacinto facchetti,italy,Q219390
145342,Tarcisio Burgnich,tarcisio burgnich,italy,Q503297
145344,Sandro Mazzola,sandro mazzola,italy,Q314856
145347,Gianni Rivera,gianni rivera,italy,Q230046
145348,Gigi Riva,gigi riva,italy,Q276026
145743,Ian Rush,ian rush,wales,Q219354
148455,Mohamed Salah,mohamed salah,egypt,Q1354960
151245,Just Fontaine,just fontaine,france,Q192749
151247,Valentin Ivanov,valentin ivanov,russia,Q313309
151263,Garrincha,garrincha,brazil,Q180642
1527,Lothar Matthäus,lothar matthaus,germany,Q36386
